	date	temperatureInCelcius
322	2026-06-09 10:00:00+00:00	32.137
323	2026-06-09 11:00:00+00:00	33.487
324	2026-06-09 12:00:00+00:00	34.336998
325	2026-06-09 13:00:00+00:00	34.586998
326	2026-06-09 14:00:00+00:00	34.487
327	2026-06-09 15:00:00+00:00	34.037
328	2026-06-09 16:00:00+00:00	33.487
329	2026-06-09 17:00:00+00:00	32.887
330	2026-06-09 18:00:00+00:00	32.336998
331	2026-06-09 19:00:00+00:00	31.837
332	2026-06-09 20:00:00+00:00	31.237
333	2026-06-09 21:00:00+00:00	30.637
334	2026-06-09 22:00:00+00:00	29.987
335	2026-06-09 23:00:00+00:00	29.387
